Total Timesteps,Mean Reward,STD Reward,,Test #,Replicate #,Max Timesteps per Episode,Total Timesteps,NN Layer Count,NN Layer Size,Average Reward,Standard Reward,,,,
640000,-63488.5,13622.45,,1,1,1000,100000,2,108,-12383.18,3152.68,,,,
640000,-71244.11,9988.92,,,2,1000,100000,2,108,-7452.68,3706.41,,,,
640000,-77980.47,13208.87,,,3,1000,100000,2,108,-27881.34,1712.33,,,,
905097,-64956.07,11535.28,,2,1,1000,200000,4,216,-10489.7,2118.49,,,,
905097,-75797.86,14275.52,,,2,1000,200000,4,216,-23250.67,1915.15,,,,
905097,-82413.86,18379.41,,,3,1000,200000,4,216,-21043.1,2165.86,,,,
905097,-82413.86,18379.41,,3,1,1000,400000,6,324,-27673.32,1718.71,,,,
1280000,-482181.4,373646.98,,,2,1000,400000,6,324,-12499.85,3046.77,,,,
1280000,-267339,259386,,,3,1000,400000,6,324,-15498.57,3890.98,,,,
1280000,-68031.92,11398.81,,4,1,1000,100000,4,324,-9820.53,1706.25,,,,
300000,-900000,372000,,,2,1000,100000,4,324,-8827.16,4247.81,,,,
3000000,-821000,,,,3,1000,100000,4,324,-16157.37,2058.41,,,,
30000000,,,,5,1,1000,200000,6,108,-2208.9,453.34,,,,
,,,,,2,1000,200000,6,108,-36118.31,1095.97,,,,
,,,,,3,1000,200000,6,108,-14320.59,2448.13,,,,
,,,,6,1,1000,400000,2,216,-25875.07,4797.38,,,,
,,,,,2,1000,400000,2,216,-13484.08,7171.52,,,,
,,,,,3,1000,400000,2,216,-8517.81,5922.39,,,,
,,,,7,1,1000,100000,6,216,-2396.7,293.67,,,,
,,,,,2,1000,100000,6,216,-1868.75,402.08,,,,
,,,,,3,1000,100000,6,216,-19345.78,1788.22,,,,
,,,,8,1,1000,200000,2,324,-18133.28,1417.33,,,,
,,,,,2,1000,200000,2,324,-20224.05,3788.46,,,,
,,,,,3,1000,200000,2,324,-17893.53,3266.29,,,,
,,,,9,1,1000,400000,4,108,-12172.83,1682.78,,,,
,,,,,2,1000,400000,4,108,-7258.29,3960.28,,,,
,,,,,3,1000,400000,4,108,-5216.79,2066.75,,,,
,,,,10,1,2500,100000,2,108,,,,,,
,,,,,2,2500,100000,2,108,,,,,, 
,,,,,3,2500,100000,2,108,,,,,,
,,,,11,1,2500,200000,4,216,,,,,,
,,,,,2,2500,200000,4,216,,,,,,
,,,,,3,2500,200000,4,216,,,,,,
,,,,12,1,2500,400000,6,324,,,,,,
,,,,,2,2500,400000,6,324,,,,,,
,,,,,3,2500,400000,6,324,,,,,,
,,,,13,1,2500,100000,4,324,,,,,,
,,,,,2,2500,100000,4,324,,,,,,
,,,,,3,2500,100000,4,324,,,,,,
,,,,14,1,2500,200000,6,108,,,,,,
,,,,,2,2500,200000,6,108,,,,,,
,,,,,3,2500,200000,6,108,,,,,,
,,,,15,1,2500,400000,2,216,,,,,,
,,,,,2,2500,400000,2,216,,,,,,
,,,,,3,2500,400000,2,216,,,,,,
,,,,16,1,2500,100000,6,216,,,,,,
,,,,,2,2500,100000,6,216,,,,,,
,,,,,3,2500,100000,6,216,,,,,,
,,,,17,1,2500,200000,2,324,,,,,,
,,,,,2,2500,200000,2,324,,,,,,
,,,,,3,2500,200000,2,324,,,,,,
,,,,18,1,2500,400000,4,108,,,,,,
,,,,,2,2500,400000,4,108,,,,,,
,,,,,3,2500,400000,4,108,,,,,,
,,,,19,1,5000,100000,2,108,,,,,,
,,,,,2,5000,100000,2,108,,,,,,
,,,,,3,5000,100000,2,108,,,,,,
,,,,20,1,5000,200000,4,216,,,,,,
,,,,,2,5000,200000,4,216,,,,,,
,,,,,3,5000,200000,4,216,,,,,,
,,,,21,1,5000,400000,6,324,,,,,,
,,,,,2,5000,400000,6,324,,,,,,
,,,,,3,5000,400000,6,324,,,,,,
,,,,22,1,5000,100000,4,324,,,,,,
,,,,,2,5000,100000,4,324,,,,,,
,,,,,3,5000,100000,4,324,,,,,,
,,,,23,1,5000,200000,6,108,,,,,,
,,,,,2,5000,200000,6,108,,,,,,
,,,,,3,5000,200000,6,108,,,,,,
,,,,24,1,5000,400000,2,216,,,,,,
,,,,,2,5000,400000,2,216,,,,,,
,,,,,3,5000,400000,2,216,,,,,,
,,,,25,1,5000,100000,6,216,,,,,,
,,,,,2,5000,100000,6,216,,,,,,
,,,,,3,5000,100000,6,216,,,,,,
,,,,26,1,5000,200000,2,324,,,,,,
,,,,,2,5000,200000,2,324,,,,,,
,,,,,3,5000,200000,2,324,,,,,,
,,,,27,1,5000,400000,4,108,,,,,,
,,,,,2,5000,400000,4,108,,,,,,
,,,,,3,5000,400000,4,108,,,,,,
